date,home,label,opponent,location,town,time
"Saturday, September 13, 2026",HOME,,marist,BIC USG Arena,Chicago,4:00 PM
"Thursday, September 17, 2026",AWAY,,notre-dame,Heartland,Lincolnwood,8:20 PM
"Saturday, September 19, 2026",AWAY,,brother-rice,Oak Lawn Ice Arena,Oak Lawn,6:45 PM
"Saturday, September 26, 2026",HOME,,glenbrook-north,BIC USG Arena,Chicago,5:00 PM
"Sunday, September 27, 2026",HOME,,saint-viator,BIC USG Arena,Chicago,5:50 PM
"Friday, October 2, 2026",AWAY,,providence,Arctic,,
"Saturday, October 3, 2026",AWAY,,loyola,Heartland,Lincolnwood,4:30 PM
"Sunday, October 4, 2026",AWAY,,carmel-catholic,Glacier,,7:20 PM
"Sunday, October 11, 2026",HOME,,notre-dame,BIC USG Arena,Chicago,4:00 PM
"Wednesday, October 14, 2026",AWAY,,glenbrook-north,Northbrook Rink B,Northbrook,9:10 PM
"Saturday, October 17, 2026",HOME,,mount-carmel,BIC USG Arena,Chicago,5:00 PM
"Sunday, October 18, 2026",HOME,,fenwick,BIC USG Arena,Chicago,5:00 PM
"Friday, October 23, 2026",AWAY,,york,Addison,Addison,9:00 PM
"Saturday, October 24, 2026",AWAY,,glenbrook-south,Glenview Rink A,Glenview,8:10 PM
"Sunday, October 25, 2026",HOME,,lake-forest,BIC USG Arena,Chicago,2:10 PM
"Wednesday, October 28, 2026",AWAY,,new-trier,Centennial,,8:40 PM
"Saturday, October 31, 2026",AWAY,,saint-viator,MPIA North Rink,Mount Prospect,5:00 PM
"Sunday, November 1, 2026",HOME,,glenbrook-south,BIC USG Arena,Chicago,2:10 PM
"Thursday, November 5, 2026",AWAY,,fenwick,Edge John St,,8:30 PM
"Saturday, November 7, 2026",HOME,,lake-forest,BIC USG Arena,Chicago,2:30 PM
"Sunday, November 8, 2026",HOME,,stevenson,BIC USG Arena,Chicago,5:00 PM
"Friday, November 13, 2026",HOME,,depaul,BIC USG Arena,Chicago,7:00 PM
"Saturday, November 14, 2026",HOME,,glenbrook-south,BIC USG Arena,Chicago,4:00 PM
"Sunday, November 15, 2026",HOME,,york,BIC USG Arena,Chicago,1:00 PM
"Friday, November 20, 2026",AWAY,,benet,Seven Bridges,Woodridge,9:00 PM
"Sunday, November 22, 2026",AWAY,,lake-forest,LFC,Lake Forest,4:15 PM
"Wednesday, December 2, 2026",AWAY,,depaul,Johnny's Icehouse,Chicago,6:20 PM
"Saturday, December 5, 2026",HOME,,stevenson,BIC USG Arena,Chicago,3:50 PM
"Sunday, December 6, 2026",HOME,,loyola,BIC USG Arena,Chicago,3:50 PM
"Tuesday, December 8, 2026",HOME,,brother-rice,BIC Rink 2,Chicago,8:50 PM
"Saturday, December 12, 2026",HOME,,new-trier,BIC USG Arena,Chicago,4:30 PM
"Sunday, December 13, 2026",AWAY,,stevenson,RecPlex Blue Rink,,11:30 AM
"Friday, January 8, 2027",AWAY,,york,Addison,Addison,5:30 PM
"Saturday, January 9, 2027",HOME,,providence,BIC USG Arena,Chicago,4:30 PM
"Sunday, January 10, 2027",AWAY,,loyola,Heartland,Lincolnwood,2:10 PM
"Wednesday, January 13, 2027",AWAY,,glenbrook-north,Northbrook Rink B,Northbrook,9:10 PM
"Saturday, January 16, 2027",AWAY,,marist,Morgan Park,Chicago,2:35 PM
"Sunday, January 17, 2027",HOME,,carmel-catholic,BIC USG Arena,Chicago,4:00 PM
"Saturday, January 23, 2027",AWAY,,brother-rice,Oak Lawn Ice Arena,Oak Lawn,6:45 PM
"Sunday, January 24, 2027",HOME,,benet,BIC USG Arena,Chicago,12:00 PM
"Thursday, January 28, 2027",AWAY,,mount-carmel,Morgan Park,Chicago,8:20 PM
"Saturday, January 30, 2027",AWAY,,saint-viator,MPIA North Rink,Mount Prospect,5:00 PM
"Sunday, January 31, 2027",HOME,,new-trier,BIC USG Arena,Chicago,3:00 PM
