date,home,label,opponent,location,town,time
"Saturday, September 19, 2026",AWAY,,brother-rice,Oak Lawn Ice Arena,Oak Lawn,4:50 PM
"Sunday, September 20, 2026",HOME,HOME OPENER,york,"USG Arena, Blackhawks Ice Center",,7:30 PM
"Friday, September 25, 2026",HOME,FRIDAY NIGHT LIGHTS,lake-forest,"USG Arena, Blackhawks Ice Center",,8:30 PM
"Saturday, September 26, 2026",HOME,,glenbrook-north,"USG Arena, Blackhawks Ice Center",,6:40 PM
"Sunday, September 27, 2026",HOME,,mount-carmel,"USG Arena, Blackhawks Ice Center",,2:30 PM
"Tuesday, September 29, 2026",AWAY,,notre-dame,American Heartland Ice Arena,Lincolnwood,8:20 PM
"Saturday, October 3, 2026",AWAY,,loyola,American Heartland Ice Arena,Lincolnwood,6:10 PM
"Sunday, October 4, 2026",HOME,,providence,"USG Arena, Blackhawks Ice Center",,5:10 PM
"Thursday, October 8, 2026",HOME,,new-trier,"USG Arena, Blackhawks Ice Center",,8:40 PM
"Sunday, October 11, 2026",HOME,,notre-dame,"USG Arena, Blackhawks Ice Center",,5:40 PM
"Wednesday, October 14, 2026",AWAY,,glenbrook-north,Northbrook Sports Center - Rink B,Northbrook,7:20 PM 
"Friday, October 23, 2026",AWAY,,york,Addison Ice Arena,Addison,7:10 PM
"Sunday, October 25, 2026",HOME,,lake-forest,"USG Arena, Blackhawks Ice Center",,5:40 PM
"Thursday, October 29, 2026",AWAY,,brother-rice,Oak Lawn Ice Arena,Oak Lawn,8:00 PM
"Saturday, October 31, 2026",AWAY,,saint-viator,Mount Prospect Ice Arena - North Rink,Mount Prospect,6:40 PM
"Sunday, November 1, 2026",HOME,,glenbrook-south,"USG Arena, Blackhawks Ice Center",,5:40 PM
"Wednesday, November 4, 2026",AWAY,,new-trier,Centennial Ice Arena,Highland Park,9:10 PM
"Saturday, November 7, 2026",AWAY,,providence,Homewood-Flossmoor Ice Arena,Flossmoor,5:45 PM
"Sunday, November 8, 2026",AWAY,,carmel-catholic,Glacier Ice Arena,Vernon Hills,5:40 PM
"Thursday, November 12, 2026",AWAY,,saint-rita,Southwest Ice Arena,Crestwood,7:55 PM
"Saturday, November 14, 2026",HOME,,glenbrook-south,"USG Arena, Blackhawks Ice Center",,5:40 PM
"Sunday, November 15, 2026",HOME,,brother-rice,"USG Arena, Blackhawks Ice Center",,4:30 PM
"Saturday, November 21, 2026",AWAY,,benet,Seven Bridges Ice Arena,Woodridge,4:50 PM
"Sunday, November 22, 2026",AWAY,,lake-forest,"Alumni Memorial Fieldhouse, Lake Forest College",Lake Forest,5:45 PM 
"Wednesday, December 2, 2026",HOME,,new-trier,"USG Arena, Blackhawks Ice Center",,8:00 PM
"Saturday, December 5, 2026",HOME,,stevenson,"USG Arena, Blackhawks Ice Center",,5:30 PM
"Sunday, December 6, 2026",HOME,,loyola,"USG Arena, Blackhawks Ice Center",,5:30 PM
"Friday, December 11, 2026",AWAY,,fenwick,Ridgeland Commons Recreation Complex,Oak Park,8:30 PM
"Saturday, December 12, 2026",HOME,,saint-rita,"USG Arena, Blackhawks Ice Center",,8:00 PM
"Sunday, December 13, 2026",AWAY,,stevenson,West Meadows Ice Arena,Rolling Meadows,10:30 AM
"Sunday, January 3, 2027",AWAY,,benet,Seven Bridges Ice Arena,Woodridge,4:40 PM
"Friday, January 8, 2027",AWAY,,york,Addison Ice Arena,Addison,7:00 PM
"Saturday, January 9, 2027",HOME,,providence,"USG Arena, Blackhawks Ice Center",,6:10 PM
"Sunday, January 10, 2027",AWAY,,loyola,American Heartland Ice Arena,Lincolnwood,3:55 PM
"Wednesday, January 13, 2027",AWAY,,glenbrook-north,Northbrook Sports Center - Rink B,Northbrook,7:20 PM
"Saturday, January 16, 2027",HOME,,saint-viator,"USG Arena, Blackhawks Ice Center",,6:30 PM
"Sunday, January 17, 2027",HOME,,carmel-catholic,"USG Arena, Blackhawks Ice Center",,5:40 PM
"Monday, January 18, 2027",HOME,,fenwick,"Rink 2, Blackhawks Ice Center",,6:30 PM
"Friday, January 22, 2027",HOME,SENIOR NIGHT,stevenson,"USG Arena, Blackhawks Ice Center",,8:10 PM
"Sunday, January 24, 2027",HOME,,benet,"USG Arena, Blackhawks Ice Center",,1:40 PM
"Tuesday, January 26, 2027",AWAY,,glenbrook-south,Glenview Community Ice Center - Rink A,Glenview,7:40 PM
"Saturday, January 30, 2027",AWAY,,saint-viator,Mount Prospect Ice Arena - North Rink,Mount Prospect,6:40 PM
"Sunday, January 31, 2027",HOME,,mount-carmel,"USG Arena, Blackhawks Ice Center",,
