"date",home,label,opponent,location,town,time
"Sunday, September 20, 2026",HOME,,york,BIC Rink 2,Chicago,7:10 PM
"Friday, September 25, 2026",HOME,,lake-forest,BIC USG Arena,Chicago,6:40 PM
"Sunday, September 27, 2026",HOME,,saint-viator,BIC USG Arena,Chicago,7:30 PM
"Saturday, October 3, 2026",AWAY,,loyola,Heartland,Lincolnwood,8:00 PM
"Sunday, October 4, 2026",HOME,,new-trier,BIC USG Arena,Chicago,2:50 PM
"Friday, October 23, 2026",AWAY,,york,Addison,Addison,9:00 PM
"Saturday, October 24, 2026",AWAY,,glenbrook-south,Glenview Rink A,Glenview,6:30 PM
"Sunday, October 25, 2026",HOME,,lake-forest,BIC USG Arena,Chicago,3:50 PM
"Wednesday, October 28, 2026",AWAY,,new-trier,Winnetka,Winnetka,9:10 PM
"Saturday, October 31, 2026",AWAY,,saint-viator,MPIA North Rink,Mount Prospect,8:40 PM
"Sunday, November 1, 2026",HOME,,glenbrook-south,BIC USG Arena,Chicago,3:50 PM
"Saturday, November 14, 2026",HOME,,glenbrook-south,BIC USG Arena,Chicago,7:40 PM
"Sunday, November 15, 2026",HOME,,york,BIC USG Arena,Chicago,2:40 PM
"Wednesday, November 18, 2026",AWAY,,new-trier,Winnetka,Winnetka,9:10 PM
"Sunday, November 22, 2026",AWAY,,lake-forest,LFC,Lake Forest,2:30 PM
"Saturday, December 5, 2026",AWAY,,lake-forest,LFC,Lake Forest,5:15 PM
"Sunday, December 6, 2026",HOME,,loyola,BIC USG Arena,Chicago,7:30 PM
"Saturday, December 12, 2026",HOME,,new-trier,BIC USG Arena,Chicago,6:10 PM
"Sunday, December 13, 2026",HOME,,loyola,BIC USG Arena,Chicago,5:00 PM
"Friday, January 8, 2027",AWAY,,york,Addison,Addison,9:00 PM
"Sunday, January 10, 2027",AWAY,,loyola,Heartland,Lincolnwood,5:45 PM
"Saturday, January 16, 2027",HOME,,saint-viator,BIC USG Arena,Chicago,4:40 PM
"Friday, January 22, 2027",AWAY,,lake-forest,Blackhawk Ice Center,Chicago,5:50 PM
"Sunday, January 24, 2027",AWAY,,glenbrook-south,Glenview Rink A,Glenview,7:10 PM
"Saturday, January 30, 2027",AWAY,,saint-viator,MPIA North Rink,Mount Prospect,8:40 PM
