No.,Player,Birth,Pos,Age,Ht,Wt,S/C,Exp,Birth Date,Player-additional
98,Connor Bedard,ca CA,C,20,5-10,190,R/-,2,July 17 2005,bedarco01
59,Tyler Bertuzzi,ca CA,LW,30,6-2,200,L/-,9,February 24 1995,bertuty01
12,Sacha Boisvert,ca CA,F,19,6-2,176,L/-,R,March 17 2006,boisvsa01
28,André Burakovsky,at AT,LW,30,6-3,203,L/-,11,February 9 1995,burakan01
33,Drew Commesso,us US,G,23,6-2,180,-/L,1,July 19 2002,commedr01
46,Louis Crevier,ca CA,D,24,6-8,228,R/-,2,May 4 2001,crevilo01
34,Colton Dach,ca CA,C,23,6-4,218,L/-,1,January 4 2003,dachco01
38,Ethan Del Mastro,ca CA,D,23,6-4,210,L/-,2,January 15 2003,delmaet01
16,Jason Dickinson,ca CA,C,30,6-2,200,L/-,10,July 4 1995,dickija01
8,Ryan Donato,us US,C,29,6-0,190,L/-,8,April 9 1996,donatry01
17,Nick Foligno (C),us US,LW,38,6-0,210,L/-,18,October 31 1987,foligni01
15-16,Anton Frondell,se SE,C,18,6-1,198,L/-,R,May 7 2007,frondan01
20,Ryan Greene,ca CA,C,22,6-1,195,R/-,1,October 21 2003,greenry01
48,Matt Grzelcyk,us US,D,32,5-10,180,L/-,9,January 5 1994,grzelma01
44,Wyatt Kaiser,us US,D,23,6-0,190,L/-,3,July 31 2002,kaisewy01
30,Spencer Knight,us US,G,24,6-3,191,-/L,4,April 19 2001,knighsp01
14,Kevin Korchinski,ca CA,D,21,6-1,185,L/-,2,June 21 2004,korchke01
24,Sam Lafferty,us US,C/LW,30,6-2,205,R/-,6,March 6 1995,laffesa01
76,Nick Lardis,ca CA,LW,20,5-11,165,L/-,R,July 8 2005,lardini01
55,Artyom Levshunov,by BY,D,20,6-2,208,R/-,1,October 28 2005,levshar01
26,Andrew Mangiapane,ca CA,LW,29,5-10,183,L/-,8,April 4 1996,mangian01
95,Ilya Mikheyev,ru RU,F,31,6-2,192,L/-,6,October 10 1994,mikheil01
11,Oliver Moore,us US,C,21,5-11,188,L/-,1,January 22 2005,mooreol01
5,Connor Murphy,us US,D,32,6-4,212,R/-,12,March 26 1993,murphco02
91,Frank Nazar,us US,C,22,5-10,190,R/-,2,January 14 2004,nazarfr01
73,Lukas Reichel,de DE,LW,23,6-0,170,L/-,4,May 17 2002,reichlu01
6,Sam Rinzel,us US,D,21,6-4,194,R/-,1,June 25 2004,rinzesa01
84,Landon Slaggert,us US,LW,23,6-0,180,L/-,2,June 25 2002,slaggla01
40,Arvid Söderblom,se SE,G,26,6-3,180,-/L,4,August 19 1999,soderar01
86,Teuvo Teräväinen,fi FI,F,31,5-11,191,L/-,12,September 11 1994,teravte01
25,Dominic Toninato,us US,C,31,6-2,201,L/-,8,March 9 1994,tonindo01
72,Alex Vlasic,us US,D,24,6-6,217,L/-,4,June 5 2001,vlasial01

